statement,status
Every day I lost interest in things I used to enjoy and that worries me.,Depression
It feels like I don't want to wake up tomorrow and it has been going on for a while.,Suicidal
Today I feel like I sabotage things when they are going well every single day.,Personality Disorder
Often Deadlines are piling up and I feel panicked more than I would like to admit.,Stress
Lately I feel thankful for the small joys in my day,Normal
Often I feel like I have run out of reasons to stay alive and that worries me.,Suicidal
To be honest One day I feel amazing and the next I feel completely awful and I do not know what to do.,Bi-Polar
I notice that I had a laugh with coworkers and feel connected and it is exhausting.,Normal
It feels like I push people away even when I want them to stay more than I would like to admit.,Personality Disorder
Today I keep imagining worst case scenarios,Anxiety
I notice that I am looking forward to the weekend,Normal
Every day I feel balanced and calm today more than I would like to admit.,Normal
Honestly I feel like relationships are very all or nothing for me and it is hard.,Personality Disorder
I think I feel like I am too intense for most people and it is exhausting.,Personality Disorder
I had a nice conversation and feel uplifted,Normal
For a while now I feel hopeless about the future more than I would like to admit.,Depression
Lately I feel stressed about my future and what will happen and it has been going on for a while.,Stress
Honestly I act impulsively to avoid feeling the pain I carry inside,Personality Disorder
Often I do not feel motivated to take care of myself and that worries me.,Depression
Today I feel restless and on edge all the time and it is exhausting.,Anxiety
Often My heart is racing and I can't calm down lately.,Anxiety
I notice that I feel like life is passing me by and I cannot do anything which is not normal for me.,Depression
I think I feel optimistic and hopeful about my future and that worries me.,Normal
Every day I feel like I am drowning in responsibilities and that worries me.,Stress
Often I had a great conversation with a friend today every single day.,Normal
I feel like I feel grandiose and special sometimes but then worthless the next and it is hard.,Bi-Polar
For a while now Even good news can make me feel anxious and that worries me.,Anxiety
Most days I think the world would be better without me in it lately.,Suicidal
Every day I cannot concentrate because my thoughts are all over the place and it is exhausting.,Anxiety
It feels like a sense of purpose in what I am doing,Normal
I notice that I think about death a lot and it comforts me and that worries me.,Suicidal
I think I do impulsive things that hurt me without thinking first and it is hard.,Personality Disorder
I think I feel like I never have enough time to finish everything and I do not know what to do.,Stress
Most days I feel sad and I do not know how to feel better and it is hard.,Depression
I feel like Deadlines are piling up and I feel panicked and that worries me.,Stress
I notice that I feel irritable and restless and then suddenly very sad lately.,Bi-Polar
I am so stressed that I feel sick to my stomach every single day.,Stress
To be honest I feel very empty inside most of the time lately.,Personality Disorder
I notice that Everything feels like too much effort and I do not know what to do.,Depression
I feel like I am going through the motions every day more than I would like to admit.,Depression
Today Now I feel so empty and cannot think clearly at all,Bi-Polar
Often I feel like other people do not experience emotions as strongly as I do and it has been going on for a while.,Personality Disorder
Today I feel like I need constant reassurance that people care,Personality Disorder
I feel like I am trapped in my own patterns and cannot break free lately.,Personality Disorder
Honestly I feel irritable and restless and then suddenly very sad and that worries me.,Bi-Polar
Most days I feel calm and in control of my emotions and that worries me.,Normal
Most days I feel like two different people at different times lately.,Bi-Polar
Recently I don't want to wake up tomorrow and I wish I could change it.,Suicidal
For a while now I'm afraid of embarrassing myself in front of others and it has been going on for a while.,Anxiety
I am overwhelmed by financial stress and do not know what to do and I do not know what to do.,Stress
Recently My mood is unpredictable and it affects everyone around me and that worries me.,Bi-Polar
I notice that I feel sad and I do not know how to feel better lately.,Depression
Every day Work and home responsibilities are crushing me and it is hard.,Stress
Most days I avoid going to crowded places because I get overwhelmed and that worries me.,Anxiety
Often But when I am low I can barely get out of bed lately.,Bi-Polar
Sometimes I feel completely hopeless and see no way out and it has been going on for a while.,Suicidal
Sometimes Every small thing feels like a huge problem right now and I wish I could change it.,Stress
Recently I feel disconnected from life and the people around me and it is exhausting.,Depression
It feels like I worry about my health constantly which is not normal for me.,Anxiety
Sometimes I feel no major worries today and that feels nice and I wish I could change it.,Normal
Often My relationships are either perfect or completely broken every single day.,Personality Disorder
